ID;Genero;Edad;Aprendo mejor leyendo lo que el maestro escribe en la pizarra;Cuando leo las instrucciones las recuerdo mejor;Entiendo mejor cuando leo las instrucciones;Aprendo mejor leyendo que escuchando a alguien;Aprendo mas leyendo libros de texto que escuchando conferencias;Cuando el profesor me dice las instrucciones entiendo mejor;Cuando alguien me dice como hacer algo en clase lo aprendo mejor;Recuerdo las cosas que he escuchado en clase mejor que las cosas que he leido;Aprendo mejor en clase cuando el profesor da una conferencia;Aprendo mejor en clase cuando escucho a alguien;Prefiero aprender haciendo algo en clase;Cuando hago cosas en clase aprendo mejor;Me gusta aprender en clase haciendo experimentos;Entiendo mejor las cosas en clase cuando participo en juegos de rol;Te resulta mas facil aprender algo cuando puedes hacerlo tu mismo en lugar de solo escuchar o leer sobre ello
10011095;Masculino;20;4;5;4;3;3;3;4;4;4;3;3;3;4;3;5
10011096;Masculino;21;4;4;3;3;2;3;3;2;3;2;3;2;4;2;5
10011097;Masculino;21;3;4;3;4;3;4;3;4;3;5;3;3;4;3;5
10011098;Femenino;20;3;4;4;3;2;3;3;3;4;3;3;3;4;3;5
10011099;Femenino;20;2;3;4;3;4;4;2;4;4;3;3;3;3;5;5
10011100;Femenino;21;2;4;3;3;3;2;4;4;2;3;3;3;2;3;5
10011101;Masculino;20;5;3;4;3;3;2;3;3;3;4;2;4;2;3;5
10011102;Femenino;17;2;4;3;3;2;2;2;4;2;5;1;3;5;1;5
10011103;Femenino;18;2;5;4;4;2;3;4;2;5;1;5;3;4;3;5
10011104;Masculino;17;4;5;4;2;4;2;4;2;5;3;3;5;2;3;5
10011105;Femenino;17;4;4;2;4;2;4;3;4;2;4;3;2;4;3;5
10011106;Femenino;17;4;3;2;4;3;2;3;3;4;3;2;3;2;3;5
10011107;Femenino;18;4;4;3;4;3;3;3;4;3;4;2;4;3;3;5
10011108;Masculino;18;3;4;3;4;2;4;2;3;4;2;4;2;4;4;5
10011109;Masculino;18;4;4;3;3;3;5;3;4;3;3;2;4;4;2;5
10011110;Femenino;18;4;4;4;2;4;2;4;2;2;4;2;4;2;5;5
10011111;Femenino;18;4;4;3;4;3;4;3;4;5;5;4;4;3;1;5
10011112;Masculino;17;3;3;3;3;4;3;3;3;4;3;3;3;3;4;5
10011113;Masculino;18;4;3;4;3;1;5;2;5;2;5;3;4;2;4;5
10011114;Femenino;19;4;5;4;3;3;5;2;4;3;4;2;4;2;4;5
10011115;Masculino;18;3;5;4;3;4;2;4;2;4;5;5;4;5;2;5
10011116;Masculino;18;5;4;3;3;4;2;4;4;3;4;3;3;3;4;5
10011117;Masculino;19;4;4;3;4;3;4;3;3;5;4;3;1;3;4;5
10011118;Femenino;19;4;4;3;4;3;3;5;3;5;2;3;3;4;2;5
10011119;Femenino;19;3;3;5;2;3;4;3;4;2;4;3;5;3;4;5
10011120;Femenino;18;4;3;4;3;4;4;2;4;4;2;4;4;4;4;5
10011121;Femenino;18;3;4;3;2;4;4;2;3;3;3;3;4;5;3;5
10011122;Masculino;18;4;3;4;4;3;4;4;3;4;3;5;3;4;4;5
10011123;Masculino;18;3;5;4;5;4;2;3;3;2;2;3;2;3;2;5
10011124;Masculino;18;4;3;3;3;4;4;2;4;4;3;4;3;4;3;5
10011125;Femenino;17;2;5;4;3;4;3;4;5;4;4;4;2;3;4;5
10011126;Masculino;16;3;4;3;4;3;3;4;2;2;4;2;4;3;4;5
10011127;Femenino;18;5;4;2;4;4;3;4;3;4;4;3;4;3;4;5
10011128;Masculino;19;4;4;2;5;4;3;5;3;3;2;3;3;2;4;5
10011129;Masculino;19;2;1;5;1;5;4;4;1;1;3;3;3;4;1;5
10011130;Masculino;20;3;5;2;5;2;5;2;2;5;2;5;2;5;4;5
10011131;Femenino;20;4;4;3;3;5;2;4;3;5;5;3;4;4;3;5
10011132;Masculino;21;2;3;3;1;2;2;1;2;2;3;3;3;2;2;5
10011133;Femenino;19;4;3;4;3;3;4;3;2;4;3;2;4;3;3;5
10011134;Masculino;19;3;4;4;3;4;3;4;3;4;3;2;3;4;3;5
10011135;Masculino;18;4;3;4;3;4;3;3;5;3;4;2;3;5;3;5
10011136;Masculino;19;4;3;1;3;2;4;2;4;1;4;1;4;2;3;5
10011137;Masculino;19;3;2;4;2;4;3;2;3;4;4;3;4;2;4;5
10011138;Masculino;18;4;2;4;3;3;3;4;3;3;4;2;4;3;3;5
10011139;Masculino;18;3;5;2;5;2;4;3;4;3;4;2;4;3;3;5
10011140;Femenino;18;3;4;3;4;2;4;4;3;5;2;4;4;2;4;5
10011141;Femenino;19;3;4;2;3;4;4;4;1;2;5;4;4;4;4;5
10011142;Femenino;18;2;5;3;4;3;1;4;2;3;4;4;2;4;4;5
10011143;Masculino;18;4;4;4;4;3;3;4;3;4;4;2;3;3;3;5
10011144;Femenino;18;4;5;3;4;3;4;3;3;4;2;3;4;3;3;5
10011145;Masculino;18;4;4;4;3;3;3;3;4;3;3;3;3;3;3;5
10011146;Femenino;18;4;5;5;5;3;4;3;4;3;4;2;4;4;3;5
10011147;Femenino;21;5;4;3;4;3;3;3;4;2;3;3;4;3;4;5
10011148;Femenino;18;4;4;3;4;4;3;4;4;5;3;5;2;2;2;5
10011149;Femenino;18;2;2;4;3;3;2;2;3;2;4;2;3;2;3;5
10011150;Femenino;18;3;4;2;3;2;4;3;2;4;2;4;2;4;2;5
10011151;Femenino;21;3;3;2;2;4;3;3;2;3;2;3;2;4;3;5
10011152;Femenino;19;3;2;3;3;2;3;4;4;3;4;3;3;3;3;5
